[2026-04-21 20:50:58] === START MERGE BAZE DE DATE ===
[2026-04-21 20:50:58] Client CUI=18171186 deja existent, fără modificări
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-12 00:00:00 → 2026-06-12 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-12 00:00:00 → 2026-06-12 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=4090003477 client CUI=RO30910555: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-07 00:00:00 → 2026-06-07 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043378 client CUI=RO14512582: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-08 00:00:00 → 2026-06-08 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200075087 client CUI=RO15380021: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-08 00:00:00 → 2026-06-08 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200052888 client CUI=R10878344: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-09-24 00:00:00 → 2026-09-24 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043575 client CUI=R10878344: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-10 00:00:00 → 2026-08-10 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200052890 client CUI=R10878344: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-10 00:00:00 → 2026-08-10 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200052889 client CUI=R10878344: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-10 00:00:00 → 2026-08-10 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200052891 client CUI=R10878344: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-28 00:00:00 → 2026-06-28 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4700011841 client CUI=RO18560000: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-28 00:00:00 → 2026-06-28 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4700011276 client CUI=RO18560000: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-18 00:00:00 → 2026-06-18 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-07-06 00:00:00 → 2026-07-06 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200036480 client CUI=RO17545010: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-07-20 00:00:00 → 2026-07-20 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4700001082 client CUI=R14112292: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-07-20 00:00:00 → 2026-07-20 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX054663 client CUI=R14112292: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-07-20 00:00:00 → 2026-07-20 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200030686 client CUI=RO38284228: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-23 00:00:00 → 2026-08-23 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200066002 client CUI=RO38281132: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-18 00:00:00 → 2026-06-18 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-05 00:00:00 → 2026-08-05 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200026305 client CUI=RO29473635: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-11 00:00:00 → 2026-08-11 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043416 client CUI=RO10990657: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-16 00:00:00 → 2026-08-16 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043584 client CUI=RO662946: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-20 00:00:00 → 2026-06-20 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-20 00:00:00 → 2026-06-20 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4100001175 client CUI=R13449606: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-15 00:00:00 → 2027-03-15 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-03-15 00:00:00 → 2027-03-15 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=AC20003341 client CUI=3357165: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-10-21 00:00:00 → 2026-10-21 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-21 00:00:00 → 2026-10-21 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZCS024481 client CUI=3357165: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-10-21 00:00:00 → 2026-10-21 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-21 00:00:00 → 2026-10-21 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZCS026688 client CUI=3357165: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-10-21 00:00:00 → 2026-10-21 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-21 00:00:00 → 2026-10-21 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZCS024482 client CUI=3357165: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-23 00:00:00 → 2026-06-23 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-23 00:00:00 → 2026-06-23 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX017269 client CUI=39886477: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-17 00:00:00 → 2026-08-17 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200037827 client CUI=RO32966943: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-17 00:00:00 → 2026-08-17 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200037829 client CUI=RO32966943: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-18 00:00:00 → 2026-06-18 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-16 00:00:00 → 2026-08-16 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200019655 client CUI=RO10499030: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-25 00:00:00 → 2027-03-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-08-16 00:00:00 → 2027-08-16 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200097020 client CUI=RO42109314: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-08-25 00:00:00 → 2026-08-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-16 00:00:00 → 2026-08-16 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4400002482 client CUI=RO28208452: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-08-16 00:00:00 → 2050-08-16 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200065438 client CUI=RO6851308: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-25 00:00:00 → 2026-08-25 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200065439 client CUI=RO6851308: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-15 00:00:00 → 2027-02-15 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-02-15 00:00:00 → 2027-02-15 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200097151 client CUI=RO40840449: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-08-25 00:00:00 → 2050-08-25 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200126847 client CUI=RO6851308: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-18 00:00:00 → 2026-06-18 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-24 00:00:00 → 2026-08-24 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043593 client CUI=RO22574322: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-25 00:00:00 → 2027-02-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-25 00:00:00 → 2026-08-25 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX056248 client CUI=43579900: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-30 00:00:00 → 2026-08-30 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4700004202 client CUI=RO7377238: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-30 00:00:00 → 2026-08-30 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4700004203 client CUI=RO7377238: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-12-25 00:00:00 → 2026-12-25 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4090040536 client CUI=RO48937227: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-13 00:00:00 → 2026-10-13 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200065434 client CUI=RO18852536: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-15 00:00:00 → 2026-06-15 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-15 00:00:00 → 2026-06-15 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4500020882 client CUI=RO44134411: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-16 00:00:00 → 2026-10-16 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043381 client CUI=RO6971355: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-28 00:00:00 → 2027-02-28 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-02-28 00:00:00 → 2027-02-28 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX063761 client CUI=RO48532835: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-02-28 00:00:00 → 2050-02-28 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=M7MLTAA2616 client CUI=RO33077647: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-02-28 00:00:00 → 2050-02-28 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=M7MLTAA6037 client CUI=RO25860000: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-02-28 00:00:00 → 2050-02-28 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=VF50001751 client CUI=RO43082624: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-07 00:00:00 → 2027-03-07 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-03-07 00:00:00 → 2027-03-07 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4090009399 client CUI=47697363: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-22 00:00:00 → 2027-03-22 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-03-22 00:00:00 → 2027-03-22 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4090021420 client CUI=44301889: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-10 00:00:00 → 2027-03-10 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-05-29 00:00:00 → 2027-05-29 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4090029962 client CUI=RO34235125: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-01 00:00:00 → 2026-10-01 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200033022 client CUI=RO14617406: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-10-25 00:00:00 → 2026-10-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-10-01 00:00:00 → 2050-10-01 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=M7MLTAA6714 client CUI=28798728: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-10-20 00:00:00 → 2026-10-20 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-03-25 00:00:00 → 2027-03-25 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4120005642 client CUI=28449612: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-10 00:00:00 → 2027-02-10 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-25 00:00:00 → 2026-10-25 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043589 client CUI=42289665: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-11 00:00:00 → 2027-02-11 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-02-11 00:00:00 → 2027-02-11 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4120005944 client CUI=51247235: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-24 00:00:00 → 2027-02-24 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-02-24 00:00:00 → 2027-02-24 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4120005129 client CUI=51256071: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-04-08 00:00:00 → 2027-04-08 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-08-04 00:00:00 → 2050-08-04 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=CPE8091218470087 client CUI=50780522: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-25 00:00:00 → 2027-03-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-03-25 00:00:00 → 2027-03-25 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX062385 client CUI=RO44686580: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-02 00:00:00 → 2027-02-02 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-02-02 00:00:00 → 2027-02-02 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZCS026739 client CUI=41816392: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-01-21 00:00:00 → 2026-01-21 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-02-02 00:00:00 → 2050-02-02 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=M7MLTAA8526 client CUI=RO42117333: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-01-22 00:00:00 → 2027-01-22 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-01-22 00:00:00 → 2050-01-22 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=CPE8051718290339 client CUI=49752375: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-05 00:00:00 → 2027-03-05 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-03-05 00:00:00 → 2027-03-05 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=AC20002558 client CUI=45506173: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-18 00:00:00 → 2027-03-18 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-09-17 00:00:00 → 2026-09-17 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX054595 client CUI=42453333: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-20 00:00:00 → 2027-03-20 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-08-23 00:00:00 → 2027-08-23 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200119124 client CUI=43181792: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-15 00:00:00 → 2027-03-15 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-03-13 00:00:00 → 2050-03-13 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DP10003769 client CUI=RO36803442: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-13 00:00:00 → 2027-02-13 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-02-13 00:00:00 → 2027-02-13 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4120005344 client CUI=43266791: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-04-05 00:00:00 → 2027-04-05 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-04-05 00:00:00 → 2027-04-05 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200122106 client CUI=RO43567387: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-20 00:00:00 → 2027-03-20 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-08-23 00:00:00 → 2027-08-23 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043531 client CUI=RO37660537: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-03-30 00:00:00 → 2026-03-30 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-03-30 00:00:00 → 2026-03-30 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=AC20002560 client CUI=RO45214969: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-21 00:00:00 → 2027-03-21 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-05-30 00:00:00 → 2027-05-30 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4090002868 client CUI=45982487: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-01-17 00:00:00 → 2027-01-17 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-01-17 00:00:00 → 2027-01-17 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX031698 client CUI=RO30803567: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-19 00:00:00 → 2027-02-19 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-15 00:00:00 → 2026-10-15 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX054917 client CUI=42555651: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-04-14 00:00:00 → 2026-04-14 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-04-14 00:00:00 → 2026-04-14 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZCM033974 client CUI=17557007: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-04-15 → 2027-04-15 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-04-14 00:00:00 → 2050-04-14 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=M7MLTAA2407 client CUI=RO5776011: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-11-25 00:00:00 → 2026-11-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-04-14 00:00:00 → 2050-04-14 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4100028882 client CUI=RO33327379: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-02-10 00:00:00 → 2027-02-10 00:00:00
